employee_id,transfer_date,from_agency_code,from_agency_name,to_agency_code,to_agency_name,job_grade_id,job_grade_name,employee_name,source_system,is_cross_agency,transfer_year,transfer_quarter,gold_ts
A037699,4/30/2025,A,Agency A,B,Agency B,5,Director,Hui Low,SYSTEM A,1,2025,2,2026-03-27T07:12:24.498Z
A040361,10/28/2025,F,Agency F,D,Agency D,3,Assistant Director,Tina Leong,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A042068,9/3/2025,D,Agency D,H,Agency H,1,Staff,Charles Kwong,SYSTEM A,1,2025,3,2026-03-27T07:12:24.498Z
A044369,5/16/2024,A,Agency A,D,Agency D,1,Staff,Ling Yeo,SYSTEM A,1,2024,2,2026-03-27T07:12:24.498Z
A049195,9/28/2024,F,Agency F,D,Agency D,1,Staff,Uma Kaur,SYSTEM A,1,2024,3,2026-03-27T07:12:24.498Z
A050082,12/31/2025,H,Agency H,C,Agency C,1,Staff,Zara Kwong,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A051265,7/8/2023,D,Agency D,B,Agency B,1,Staff,Yusuf Abdullah,SYSTEM B,1,2023,3,2026-03-27T07:12:24.498Z
A051267,10/1/2021,A,Agency A,H,Agency H,1,Staff,Ramesh Nair,SYSTEM B,1,2021,4,2026-03-27T07:12:24.498Z
A051583,3/23/2025,B,Agency B,A,Agency A,1,Staff,Hafiz Wang,SYSTEM B,1,2025,1,2026-03-27T07:12:24.498Z
A051709,12/10/2025,F,Agency F,B,Agency B,2,Lead,Karen Yeo,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A052494,8/13/2021,D,Agency D,B,Agency B,1,Staff,Mei Zhao,SYSTEM B,1,2021,3,2026-03-27T07:12:24.498Z
A052675,2/26/2023,A,Agency A,G,Agency G,1,Staff,Victor Johnson,SYSTEM B,1,2023,1,2026-03-27T07:12:24.498Z
A052767,11/26/2025,G,Agency G,F,Agency F,1,Staff,Xena Davis,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A053194,10/29/2025,D,Agency D,A,Agency A,1,Staff,Jing Brown,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A053599,7/14/2024,G,Agency G,D,Agency D,1,Staff,Clara Cheong,SYSTEM B,1,2024,3,2026-03-27T07:12:24.498Z
A055574,10/17/2022,D,Agency D,C,Agency C,5,Director,Jing Chen,SYSTEM B,1,2022,4,2026-03-27T07:12:24.498Z
A056011,11/20/2024,B,Agency B,C,Agency C,1,Staff,Ramesh Ooi,SYSTEM B,1,2024,4,2026-03-27T07:12:24.498Z
A056498,6/1/2025,F,Agency F,G,Agency G,1,Staff,Rachel Liu,SYSTEM B,1,2025,2,2026-03-27T07:12:24.498Z
A057101,1/28/2023,D,Agency D,B,Agency B,1,Staff,Wei Poh,SYSTEM B,1,2023,1,2026-03-27T07:12:24.498Z
A057552,5/15/2025,C,Agency C,B,Agency B,1,Staff,Winifred Lin,SYSTEM B,1,2025,2,2026-03-27T07:12:24.498Z
A058232,12/16/2025,H,Agency H,D,Agency D,1,Staff,Rajan Garcia,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A059504,10/11/2024,D,Agency D,H,Agency H,1,Staff,Kai Ahmad,SYSTEM B,1,2024,4,2026-03-27T07:12:24.498Z
A059577,8/25/2023,C,Agency C,G,Agency G,2,Lead,Rohit Wilson,SYSTEM B,1,2023,3,2026-03-27T07:12:24.498Z
A061091,5/29/2025,A,Agency A,D,Agency D,1,Staff,Wendy Yap,SYSTEM B,1,2025,2,2026-03-27T07:12:24.498Z
A061342,7/20/2022,A,Agency A,F,Agency F,1,Staff,Rizal Wang,SYSTEM B,1,2022,3,2026-03-27T07:12:24.498Z
A061919,12/6/2024,D,Agency D,C,Agency C,1,Staff,Peter Sim,SYSTEM B,1,2024,4,2026-03-27T07:12:24.498Z
A062163,1/28/2024,D,Agency D,A,Agency A,1,Staff,Thomas Wee,SYSTEM B,1,2024,1,2026-03-27T07:12:24.498Z
A063491,8/26/2025,D,Agency D,H,Agency H,2,Lead,Emily Zhao,SYSTEM B,1,2025,3,2026-03-27T07:12:24.498Z
A064966,11/11/2025,A,Agency A,H,Agency H,2,Lead,Jasmine Ho,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A065927,12/9/2022,D,Agency D,G,Agency G,2,Lead,Olivia Koh,SYSTEM B,1,2022,4,2026-03-27T07:12:24.498Z
A065993,10/29/2021,H,Agency H,F,Agency F,1,Staff,Jasmine Wu,SYSTEM B,1,2021,4,2026-03-27T07:12:24.498Z
A066741,12/1/2025,C,Agency C,H,Agency H,1,Staff,Hua Huang,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A066961,8/11/2023,D,Agency D,A,Agency A,3,Assistant Director,Kevin Lee,SYSTEM B,1,2023,3,2026-03-27T07:12:24.498Z
A067351,2/15/2022,F,Agency F,C,Agency C,1,Staff,Peter Chen,SYSTEM B,1,2022,1,2026-03-27T07:12:24.498Z
A067362,6/6/2023,B,Agency B,A,Agency A,1,Staff,Hui Rao,SYSTEM B,1,2023,2,2026-03-27T07:12:24.498Z
A069402,9/5/2025,D,Agency D,B,Agency B,1,Staff,Nathan Chua,SYSTEM B,1,2025,3,2026-03-27T07:12:24.498Z
A069462,10/22/2025,A,Agency A,C,Agency C,1,Staff,Peter Wu,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A069916,11/25/2025,G,Agency G,D,Agency D,1,Staff,Betty Liang,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A071265,9/20/2025,D,Agency D,F,Agency F,4,Deputy Director,Clara Ibrahim,SYSTEM B,1,2025,3,2026-03-27T07:12:24.498Z
A071725,9/29/2023,C,Agency C,A,Agency A,3,Assistant Director,James Malik,SYSTEM B,1,2023,3,2026-03-27T07:12:24.498Z
A071924,8/20/2025,C,Agency C,G,Agency G,3,Assistant Director,Rajan Wilson,SYSTEM B,1,2025,3,2026-03-27T07:12:24.498Z
A071964,8/12/2025,C,Agency C,A,Agency A,1,Staff,Sunita Fong,SYSTEM B,1,2025,3,2026-03-27T07:12:24.498Z
A073103,7/12/2021,D,Agency D,A,Agency A,1,Staff,Michael Chong,SYSTEM B,1,2021,3,2026-03-27T07:12:24.498Z
A073920,3/10/2025,B,Agency B,C,Agency C,2,Lead,Ramesh Kwek,SYSTEM B,1,2025,1,2026-03-27T07:12:24.498Z
A000022,9/19/2025,A,Agency A,G,Agency G,3,Assistant Director,Nathan Goh,SYSTEM A,1,2025,3,2026-03-27T07:12:24.498Z
A000913,11/22/2025,A,Agency A,H,Agency H,2,Lead,Deborah Zhang,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A000979,10/21/2025,D,Agency D,F,Agency F,1,Staff,James Ooi,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A001935,6/20/2025,F,Agency F,A,Agency A,4,Deputy Director,Nancy Tan,SYSTEM A,1,2025,2,2026-03-27T07:12:24.498Z
A002993,6/14/2023,B,Agency B,G,Agency G,2,Lead,Kavitha Chee,SYSTEM A,1,2023,2,2026-03-27T07:12:24.498Z
A004939,3/29/2024,D,Agency D,H,Agency H,2,Lead,Lily Davis,SYSTEM A,1,2024,1,2026-03-27T07:12:24.498Z
A006288,4/22/2021,C,Agency C,A,Agency A,2,Lead,Meena Teo,SYSTEM A,1,2021,2,2026-03-27T07:12:24.498Z
A008754,8/1/2024,B,Agency B,A,Agency A,1,Staff,Samuel Seah,SYSTEM A,1,2024,3,2026-03-27T07:12:24.498Z
A011347,1/15/2024,F,Agency F,G,Agency G,1,Staff,Olivia Ooi,SYSTEM A,1,2024,1,2026-03-27T07:12:24.498Z
A012100,12/14/2025,H,Agency H,C,Agency C,1,Staff,Rajan Wu,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A014461,11/4/2023,C,Agency C,B,Agency B,2,Lead,Pooja Liang,SYSTEM A,1,2023,4,2026-03-27T07:12:24.498Z
A016840,8/4/2022,G,Agency G,H,Agency H,3,Assistant Director,Irene Johnson,SYSTEM A,1,2022,3,2026-03-27T07:12:24.498Z
A018835,11/21/2025,D,Agency D,C,Agency C,2,Lead,Kenneth Chen,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A019688,5/16/2022,B,Agency B,A,Agency A,4,Deputy Director,Farah Lee,SYSTEM A,1,2022,2,2026-03-27T07:12:24.498Z
A020904,5/16/2025,A,Agency A,B,Agency B,1,Staff,Jing Cheong,SYSTEM A,1,2025,2,2026-03-27T07:12:24.498Z
A022348,6/9/2025,F,Agency F,D,Agency D,2,Lead,Karen Chee,SYSTEM A,1,2025,2,2026-03-27T07:12:24.498Z
A022468,12/22/2024,F,Agency F,H,Agency H,1,Staff,Yvonne Kwong,SYSTEM A,1,2024,4,2026-03-27T07:12:24.498Z
A022599,8/29/2025,C,Agency C,A,Agency A,4,Deputy Director,Arun Soh,SYSTEM A,1,2025,3,2026-03-27T07:12:24.498Z
A023879,9/24/2025,A,Agency A,B,Agency B,2,Lead,Pooja Teo,SYSTEM A,1,2025,3,2026-03-27T07:12:24.498Z
A025198,10/13/2025,D,Agency D,A,Agency A,1,Staff,Zhen Liu,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A026411,6/27/2024,D,Agency D,B,Agency B,1,Staff,Jasmine Malik,SYSTEM A,1,2024,2,2026-03-27T07:12:24.498Z
A027939,11/5/2025,D,Agency D,B,Agency B,1,Staff,Calvin Brown,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A029473,5/8/2025,B,Agency B,H,Agency H,1,Staff,Diana Quek,SYSTEM A,1,2025,2,2026-03-27T07:12:24.498Z
A030406,7/27/2023,F,Agency F,H,Agency H,1,Staff,Emily Chee,SYSTEM A,1,2023,3,2026-03-27T07:12:24.498Z
A033865,4/11/2023,D,Agency D,F,Agency F,1,Staff,Priya Lee,SYSTEM A,1,2023,2,2026-03-27T07:12:24.498Z
A034586,6/20/2025,B,Agency B,C,Agency C,1,Staff,Ulric Seah,SYSTEM A,1,2025,2,2026-03-27T07:12:24.498Z
A035595,7/6/2025,B,Agency B,F,Agency F,1,Staff,Xavier Brown,SYSTEM A,1,2025,3,2026-03-27T07:12:24.498Z
A035970,3/22/2023,B,Agency B,C,Agency C,1,Staff,Fiona Singh,SYSTEM A,1,2023,1,2026-03-27T07:12:24.498Z
A038860,3/7/2022,D,Agency D,A,Agency A,1,Staff,Andre Liang,SYSTEM A,1,2022,1,2026-03-27T07:12:24.498Z
A039326,1/30/2025,D,Agency D,B,Agency B,3,Assistant Director,Deborah Abdullah,SYSTEM A,1,2025,1,2026-03-27T07:12:24.498Z
A039772,5/5/2024,D,Agency D,C,Agency C,1,Staff,Nathan Heng,SYSTEM A,1,2024,2,2026-03-27T07:12:24.498Z
A042542,11/23/2025,A,Agency A,G,Agency G,1,Staff,Xerxes Yap,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A044509,10/22/2025,D,Agency D,B,Agency B,1,Staff,Betty Foo,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A044551,12/16/2023,D,Agency D,G,Agency G,1,Staff,Henry Mohamed,SYSTEM A,1,2023,4,2026-03-27T07:12:24.498Z
A045901,1/1/2025,C,Agency C,B,Agency B,2,Lead,Vanessa Yang,SYSTEM A,1,2025,1,2026-03-27T07:12:24.498Z
A046617,6/23/2025,F,Agency F,G,Agency G,1,Staff,Peter Soh,SYSTEM A,1,2025,2,2026-03-27T07:12:24.498Z
A049947,4/15/2023,D,Agency D,A,Agency A,3,Assistant Director,Jun Zhao,SYSTEM B,1,2023,2,2026-03-27T07:12:24.498Z
A051355,6/1/2022,D,Agency D,F,Agency F,2,Lead,Emily Heng,SYSTEM B,1,2022,2,2026-03-27T07:12:24.498Z
A051388,11/8/2023,A,Agency A,H,Agency H,1,Staff,Calvin Cheong,SYSTEM B,1,2023,4,2026-03-27T07:12:24.498Z
A051504,5/16/2025,B,Agency B,A,Agency A,4,Deputy Director,Quinn Seah,SYSTEM B,1,2025,2,2026-03-27T07:12:24.498Z
A051535,8/27/2023,D,Agency D,B,Agency B,1,Staff,Wendy Liang,SYSTEM B,1,2023,3,2026-03-27T07:12:24.498Z
A052069,2/26/2025,A,Agency A,B,Agency B,1,Staff,Betty Tay,SYSTEM B,1,2025,1,2026-03-27T07:12:24.498Z
A053696,4/19/2024,H,Agency H,G,Agency G,1,Staff,Andre Foo,SYSTEM B,1,2024,2,2026-03-27T07:12:24.498Z
A054309,1/29/2023,D,Agency D,A,Agency A,3,Assistant Director,Aaron Anderson,SYSTEM B,1,2023,1,2026-03-27T07:12:24.498Z
A054429,11/14/2023,F,Agency F,B,Agency B,2,Lead,Hua Reddy,SYSTEM B,1,2023,4,2026-03-27T07:12:24.498Z
A054552,12/21/2025,B,Agency B,F,Agency F,1,Staff,Zhen Tay,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A056108,2/28/2025,H,Agency H,A,Agency A,1,Staff,Edward Chia,SYSTEM B,1,2025,1,2026-03-27T07:12:24.498Z
A056290,9/14/2023,A,Agency A,F,Agency F,4,Deputy Director,Amirah Tan,SYSTEM B,1,2023,3,2026-03-27T07:12:24.498Z
A056888,7/14/2022,A,Agency A,C,Agency C,1,Staff,Ivan Heng,SYSTEM B,1,2022,3,2026-03-27T07:12:24.498Z
A056927,12/20/2025,F,Agency F,A,Agency A,2,Lead,Kenneth Ng,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A059093,10/28/2023,C,Agency C,B,Agency B,1,Staff,Rui Huang,SYSTEM B,1,2023,4,2026-03-27T07:12:24.498Z
A059665,1/2/2026,B,Agency B,C,Agency C,1,Staff,Arjun Kumar,SYSTEM B,1,2026,1,2026-03-27T07:12:24.498Z
A060413,7/12/2025,D,Agency D,G,Agency G,2,Lead,Nina Chee,SYSTEM B,1,2025,3,2026-03-27T07:12:24.498Z
A060461,8/13/2023,C,Agency C,D,Agency D,1,Staff,Quinn Abdullah,SYSTEM B,1,2023,3,2026-03-27T07:12:24.498Z
A060680,7/8/2023,F,Agency F,H,Agency H,1,Staff,Quentin Soh,SYSTEM B,1,2023,3,2026-03-27T07:12:24.498Z
A060967,8/25/2025,H,Agency H,C,Agency C,1,Staff,Amirah Yusof,SYSTEM B,1,2025,3,2026-03-27T07:12:24.498Z
A061185,8/26/2025,D,Agency D,G,Agency G,1,Staff,Uma Loh,SYSTEM B,1,2025,3,2026-03-27T07:12:24.498Z
A061273,8/27/2024,C,Agency C,B,Agency B,1,Staff,Teresa Patel,SYSTEM B,1,2024,3,2026-03-27T07:12:24.498Z
A061494,12/29/2025,A,Agency A,G,Agency G,1,Staff,Uma Huang,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A062542,12/18/2025,D,Agency D,F,Agency F,1,Staff,Helena Beh,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A062549,5/15/2024,D,Agency D,A,Agency A,1,Staff,Hafiz Wong,SYSTEM B,1,2024,2,2026-03-27T07:12:24.498Z
A063967,5/4/2025,A,Agency A,F,Agency F,4,Deputy Director,Karen Ahmad,SYSTEM B,1,2025,2,2026-03-27T07:12:24.498Z
A064078,5/22/2025,F,Agency F,H,Agency H,1,Staff,Hua Loh,SYSTEM B,1,2025,2,2026-03-27T07:12:24.498Z
A065067,9/18/2023,A,Agency A,C,Agency C,1,Staff,Rizal Lau,SYSTEM B,1,2023,3,2026-03-27T07:12:24.498Z
A065657,7/19/2024,F,Agency F,G,Agency G,1,Staff,Jing Rahman,SYSTEM B,1,2024,3,2026-03-27T07:12:24.498Z
A065838,6/18/2025,B,Agency B,H,Agency H,2,Lead,Ivan Nair,SYSTEM B,1,2025,2,2026-03-27T07:12:24.498Z
A066016,5/9/2024,B,Agency B,C,Agency C,1,Staff,Helena Cheong,SYSTEM B,1,2024,2,2026-03-27T07:12:24.498Z
A066037,12/5/2024,H,Agency H,F,Agency F,1,Staff,Vishal Liu,SYSTEM B,1,2024,4,2026-03-27T07:12:24.498Z
A066738,3/17/2024,D,Agency D,H,Agency H,3,Assistant Director,Uma Goh,SYSTEM B,1,2024,1,2026-03-27T07:12:24.498Z
A066747,11/29/2023,C,Agency C,A,Agency A,1,Staff,Arun Pillai,SYSTEM B,1,2023,4,2026-03-27T07:12:24.498Z
A067973,8/28/2025,D,Agency D,C,Agency C,1,Staff,Amirah Teo,SYSTEM B,1,2025,3,2026-03-27T07:12:24.498Z
A068278,9/17/2025,A,Agency A,G,Agency G,3,Assistant Director,Aaron Kwek,SYSTEM B,1,2025,3,2026-03-27T07:12:24.498Z
A069604,7/21/2024,D,Agency D,B,Agency B,1,Staff,Charles Kwong,SYSTEM B,1,2024,3,2026-03-27T07:12:24.498Z
A070367,4/28/2025,F,Agency F,G,Agency G,1,Staff,Eugene Davis,SYSTEM B,1,2025,2,2026-03-27T07:12:24.498Z
A070898,5/23/2023,F,Agency F,B,Agency B,1,Staff,Wayne Kaur,SYSTEM B,1,2023,2,2026-03-27T07:12:24.498Z
A072156,10/13/2025,C,Agency C,F,Agency F,4,Deputy Director,Xavier Quek,SYSTEM B,1,2025,4,2026-03-27T07:12:24.498Z
A073304,3/4/2024,A,Agency A,H,Agency H,1,Staff,Quentin Wu,SYSTEM B,1,2024,1,2026-03-27T07:12:24.498Z
A073892,8/21/2022,D,Agency D,C,Agency C,2,Lead,Vanessa Lim,SYSTEM B,1,2022,3,2026-03-27T07:12:24.498Z
A001202,6/1/2022,A,Agency A,H,Agency H,2,Lead,Samuel Tan,SYSTEM A,1,2022,2,2026-03-27T07:12:24.498Z
A001816,12/17/2023,D,Agency D,C,Agency C,1,Staff,Helena Liu,SYSTEM A,1,2023,4,2026-03-27T07:12:24.498Z
A002747,2/13/2025,B,Agency B,H,Agency H,3,Assistant Director,Deepa Chew,SYSTEM A,1,2025,1,2026-03-27T07:12:24.498Z
A003674,7/23/2022,D,Agency D,A,Agency A,2,Lead,Ulric Sim,SYSTEM A,1,2022,3,2026-03-27T07:12:24.498Z
A011532,12/23/2025,A,Agency A,F,Agency F,3,Assistant Director,Xavier Tan,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A011946,5/27/2023,B,Agency B,F,Agency F,1,Staff,Kenneth Yang,SYSTEM A,1,2023,2,2026-03-27T07:12:24.498Z
A012088,12/4/2025,F,Agency F,A,Agency A,3,Assistant Director,Omar Kumar,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A013621,10/20/2025,D,Agency D,A,Agency A,1,Staff,Samuel Koh,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A013997,7/31/2023,B,Agency B,F,Agency F,1,Staff,Wei Soh,SYSTEM A,1,2023,3,2026-03-27T07:12:24.498Z
A014199,11/26/2025,A,Agency A,C,Agency C,2,Lead,Uma Wu,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A015841,9/4/2023,F,Agency F,B,Agency B,2,Lead,Kavitha Johnson,SYSTEM A,1,2023,3,2026-03-27T07:12:24.498Z
A018631,1/29/2025,F,Agency F,C,Agency C,1,Staff,Fang Tay,SYSTEM A,1,2025,1,2026-03-27T07:12:24.498Z
A018752,3/25/2023,B,Agency B,C,Agency C,1,Staff,Gerald Rao,SYSTEM A,1,2023,1,2026-03-27T07:12:24.498Z
A018864,11/18/2025,F,Agency F,B,Agency B,1,Staff,Tina Sim,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A019299,11/30/2025,G,Agency G,H,Agency H,1,Staff,Farah Davis,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A022280,7/12/2022,B,Agency B,C,Agency C,1,Staff,Marcus Singh,SYSTEM A,1,2022,3,2026-03-27T07:12:24.498Z
A022597,4/8/2025,C,Agency C,A,Agency A,1,Staff,Ying Ibrahim,SYSTEM A,1,2025,2,2026-03-27T07:12:24.498Z
A023379,12/18/2025,B,Agency B,C,Agency C,2,Lead,Teresa Liang,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A023452,12/14/2025,B,Agency B,D,Agency D,1,Staff,Quentin Huang,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A024293,1/28/2024,A,Agency A,B,Agency B,1,Staff,Deepa Huang,SYSTEM A,1,2024,1,2026-03-27T07:12:24.498Z
A025721,3/30/2022,B,Agency B,A,Agency A,1,Staff,Grace Goh,SYSTEM A,1,2022,1,2026-03-27T07:12:24.498Z
A026110,11/22/2025,F,Agency F,G,Agency G,2,Lead,Rui Rajan,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A026381,1/19/2023,F,Agency F,D,Agency D,2,Lead,Siti Ong,SYSTEM A,1,2023,1,2026-03-27T07:12:24.498Z
A027106,10/27/2021,B,Agency B,C,Agency C,1,Staff,Rui Abdullah,SYSTEM A,1,2021,4,2026-03-27T07:12:24.498Z
A027744,12/19/2025,C,Agency C,A,Agency A,5,Director,Helena Abdullah,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A027842,4/16/2024,A,Agency A,H,Agency H,1,Staff,Rui Poh,SYSTEM A,1,2024,2,2026-03-27T07:12:24.498Z
A028106,12/7/2025,A,Agency A,B,Agency B,1,Staff,Quinn Patel,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A030015,1/21/2023,B,Agency B,H,Agency H,2,Lead,Linda Davis,SYSTEM A,1,2023,1,2026-03-27T07:12:24.498Z
A032879,9/9/2024,F,Agency F,H,Agency H,1,Staff,Jasmine Seah,SYSTEM A,1,2024,3,2026-03-27T07:12:24.498Z
A032931,3/26/2022,A,Agency A,G,Agency G,1,Staff,Siti Wong,SYSTEM A,1,2022,1,2026-03-27T07:12:24.498Z
A033551,12/14/2025,F,Agency F,C,Agency C,1,Staff,Rohit Lin,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A034058,5/20/2025,C,Agency C,D,Agency D,1,Staff,Kevin Ahmad,SYSTEM A,1,2025,2,2026-03-27T07:12:24.498Z
A036066,5/5/2024,A,Agency A,B,Agency B,2,Lead,Mary Rahman,SYSTEM A,1,2024,2,2026-03-27T07:12:24.498Z
A037540,1/15/2023,D,Agency D,C,Agency C,1,Staff,Kenneth Rajan,SYSTEM A,1,2023,1,2026-03-27T07:12:24.498Z
A038540,3/14/2023,A,Agency A,D,Agency D,1,Staff,Julia Ng,SYSTEM A,1,2023,1,2026-03-27T07:12:24.498Z
A039362,8/16/2022,A,Agency A,F,Agency F,2,Lead,Jun Yusof,SYSTEM A,1,2022,3,2026-03-27T07:12:24.498Z
A041380,1/16/2022,F,Agency F,B,Agency B,1,Staff,Quentin Ahmad,SYSTEM A,1,2022,1,2026-03-27T07:12:24.498Z
