employee_id,exit_date,employee_name,hire_date,gender,employment_type,agency_code,agency_name,job_grade_id,job_grade_name,exit_reason,source_system,tenure_months,is_voluntary,exit_year,exit_quarter,exit_month,gold_ts
A015480,7/14/2025,Ignatius Ong,9/29/2022,M,C,A,Agency A,1,Staff,Better Opportunity,SYSTEM A,33.51612903,1,2025,3,7,2026-03-27T07:12:20.414Z
A015687,3/20/2025,Ramesh Yusof,6/4/2024,F,T,F,Agency F,1,Staff,Better Opportunity,SYSTEM A,9.51612903,1,2025,1,3,2026-03-27T07:12:20.414Z
A017327,4/25/2024,Winifred Heng,6/27/2022,M,P,F,Agency F,2,Lead,Personal,SYSTEM A,21.93548387,1,2024,2,4,2026-03-27T07:12:20.414Z
A017678,8/24/2023,Aaron Kaur,3/28/2023,F,P,B,Agency B,3,Assistant Director,Better Opportunity,SYSTEM A,4.87096774,1,2023,3,8,2026-03-27T07:12:20.414Z
A018136,4/21/2026,Teresa Malik,10/20/2024,F,P,G,Agency G,1,Staff,Personal,SYSTEM A,18.03225806,1,2026,2,4,2026-03-27T07:12:20.414Z
A018815,1/15/2023,Ivan Singh,4/16/2021,M,P,F,Agency F,0,Others,Better Opportunity,SYSTEM A,20.96774194,1,2023,1,1,2026-03-27T07:12:20.414Z
A018999,10/12/2025,Vishal Williams,5/1/2025,F,P,D,Agency D,3,Assistant Director,Personal,SYSTEM A,5.35483871,1,2025,4,10,2026-03-27T07:12:20.414Z
A019193,7/5/2025,Rachel Chua,1/30/2025,M,P,B,Agency B,2,Lead,Personal,SYSTEM A,5.19354839,1,2025,3,7,2026-03-27T07:12:20.414Z
A019516,1/29/2026,Yi Chen,11/23/2025,M,P,D,Agency D,1,Staff,Better Opportunity,SYSTEM A,2.19354839,1,2026,1,1,2026-03-27T07:12:20.414Z
A019625,5/10/2025,Peter Wang,9/17/2024,M,P,B,Agency B,1,Staff,Better Opportunity,SYSTEM A,7.77419355,1,2025,2,5,2026-03-27T07:12:20.414Z
A021061,11/16/2025,Gerald Sharma,8/23/2025,F,P,C,Agency C,1,Staff,Better Opportunity,SYSTEM A,2.77419355,1,2025,4,11,2026-03-27T07:12:20.414Z
A021829,10/4/2025,Olivia Ooi,6/14/2024,M,P,B,Agency B,3,Assistant Director,Better Opportunity,SYSTEM A,15.67741935,1,2025,4,10,2026-03-27T07:12:20.414Z
A025409,10/4/2023,Wendy Kumar,7/29/2023,M,C,G,Agency G,2,Lead,Better Opportunity,SYSTEM A,2.19354839,1,2023,4,10,2026-03-27T07:12:20.414Z
A025699,1/13/2023,Julia Ahmad,9/9/2022,M,P,B,Agency B,1,Staff,Better Opportunity,SYSTEM A,4.12903226,1,2023,1,1,2026-03-27T07:12:20.414Z
A026754,4/10/2025,Lily Huang,3/12/2023,M,P,B,Agency B,3,Assistant Director,Better Opportunity,SYSTEM A,24.93548387,1,2025,2,4,2026-03-27T07:12:20.414Z
A027663,1/28/2026,Fiona Wong,11/23/2025,M,P,D,Agency D,1,Staff,Better Opportunity,SYSTEM A,2.16129032,1,2026,1,1,2026-03-27T07:12:20.414Z
A028286,9/2/2025,Rizal Yang,8/14/2022,M,C,D,Agency D,1,Staff,Better Opportunity,SYSTEM A,36.61290323,1,2025,3,9,2026-03-27T07:12:20.414Z
A029464,1/18/2022,Kai Lim,3/25/2021,F,C,D,Agency D,3,Assistant Director,Health,SYSTEM A,9.77419355,0,2022,1,1,2026-03-27T07:12:20.414Z
A029752,5/28/2024,Julia Jones,9/6/2022,F,P,A,Agency A,1,Staff,Personal,SYSTEM A,20.70967742,1,2024,2,5,2026-03-27T07:12:20.414Z
A030594,6/30/2025,Rajan Zhao,3/31/2025,M,C,D,Agency D,1,Staff,Health,SYSTEM A,3,0,2025,2,6,2026-03-27T07:12:20.414Z
A032182,9/6/2023,Diana Low,5/23/2021,M,P,A,Agency A,1,Staff,Termination,SYSTEM A,27.4516129,0,2023,3,9,2026-03-27T07:12:20.414Z
A032836,5/6/2025,Nancy Wu,6/13/2023,F,P,B,Agency B,1,Staff,Personal,SYSTEM A,22.77419355,1,2025,2,5,2026-03-27T07:12:20.414Z
A033066,5/30/2026,Julia Koh,1/30/2026,M,C,A,Agency A,1,Staff,Better Opportunity,SYSTEM A,4,1,2026,2,5,2026-03-27T07:12:20.414Z
A033351,9/9/2025,Kavitha Jones,7/10/2025,M,P,B,Agency B,1,Staff,Better Opportunity,SYSTEM A,1.96774194,1,2025,3,9,2026-03-27T07:12:20.414Z
A035548,8/30/2026,Grace Seah,1/22/2026,F,P,C,Agency C,1,Staff,Personal,SYSTEM A,7.25806452,1,2026,3,8,2026-03-27T07:12:20.414Z
A037723,7/29/2022,Thomas Zhao,12/9/2021,M,C,D,Agency D,1,Staff,Personal,SYSTEM A,7.64516129,1,2022,3,7,2026-03-27T07:12:20.414Z
A040361,1/5/2026,Tina Leong,2/11/2024,M,P,D,Agency D,3,Assistant Director,Better Opportunity,SYSTEM A,22.80645161,1,2026,1,1,2026-03-27T07:12:20.414Z
A041721,12/1/2024,Victor Kwong,11/30/2023,M,P,A,Agency A,1,Staff,Better Opportunity,SYSTEM A,12.06451613,1,2024,4,12,2026-03-27T07:12:20.414Z
A042183,9/25/2024,Samuel Lau,3/25/2023,M,P,B,Agency B,1,Staff,Better Opportunity,SYSTEM A,18,1,2024,3,9,2026-03-27T07:12:20.414Z
A042871,12/3/2022,Kavitha Kwek,1/12/2022,F,P,G,Agency G,3,Assistant Director,Termination,SYSTEM A,10.70967742,0,2022,4,12,2026-03-27T07:12:20.414Z
A045245,8/1/2024,Rachel Johnson,8/22/2023,F,P,D,Agency D,1,Staff,Better Opportunity,SYSTEM A,11.32258065,1,2024,3,8,2026-03-27T07:12:20.414Z
A045479,2/9/2024,Thomas Smith,7/15/2021,F,P,A,Agency A,2,Lead,Better Opportunity,SYSTEM A,30.80645161,1,2024,1,2,2026-03-27T07:12:20.414Z
A045926,9/19/2024,Irene Liang,9/16/2022,M,P,B,Agency B,1,Staff,Better Opportunity,SYSTEM A,24.09677419,1,2024,3,9,2026-03-27T07:12:20.414Z
A046185,10/17/2024,Deborah Sim,7/27/2024,F,P,A,Agency A,1,Staff,Better Opportunity,SYSTEM A,2.67741935,1,2024,4,10,2026-03-27T07:12:20.414Z
A049968,9/27/2021,Mary Goh,2/13/2021,M,ACTIVE,D,Agency D,2,Lead,Better Opportunity,SYSTEM B,7.4516129,1,2021,3,9,2026-03-27T07:12:20.414Z
A050114,6/24/2023,Peter Yap,11/30/2022,F,ACTIVE,A,Agency A,1,Staff,Better Opportunity,SYSTEM B,6.80645161,1,2023,2,6,2026-03-27T07:12:20.414Z
A050126,11/16/2023,Ramesh Loh,3/27/2023,M,ACTIVE,A,Agency A,1,Staff,Better Opportunity,SYSTEM B,7.64516129,1,2023,4,11,2026-03-27T07:12:20.414Z
A051583,1/3/2026,Hafiz Wang,12/3/2023,M,ACTIVE,A,Agency A,1,Staff,Termination,SYSTEM B,25,0,2026,1,1,2026-03-27T07:12:20.414Z
A052524,1/25/2026,Vanessa Ho,1/12/2025,M,ACTIVE,A,Agency A,2,Lead,Better Opportunity,SYSTEM B,12.41935484,1,2026,1,1,2026-03-27T07:12:20.414Z
A052880,7/29/2021,Suresh Wang,4/8/2021,F,ACTIVE,D,Agency D,1,Staff,Better Opportunity,SYSTEM B,3.67741935,1,2021,3,7,2026-03-27T07:12:20.414Z
A053081,6/30/2023,Benjamin Lee,1/25/2021,F,ACTIVE,F,Agency F,1,Staff,Better Opportunity,SYSTEM B,29.16129032,1,2023,2,6,2026-03-27T07:12:20.414Z
A053429,6/19/2024,Jun Chew,12/6/2023,F,ACTIVE,C,Agency C,1,Staff,Personal,SYSTEM B,6.41935484,1,2024,2,6,2026-03-27T07:12:20.414Z
A054088,7/1/2025,Fiona Fong,1/21/2024,M,ACTIVE,B,Agency B,1,Staff,Termination,SYSTEM B,17.35483871,0,2025,3,7,2026-03-27T07:12:20.414Z
A054719,10/6/2025,Henry Wong,3/8/2025,M,ACTIVE,H,Agency H,4,Deputy Director,Personal,SYSTEM B,6.93548387,1,2025,4,10,2026-03-27T07:12:20.414Z
A055696,3/22/2024,Amirah Low,4/10/2022,M,ACTIVE,B,Agency B,1,Staff,Better Opportunity,SYSTEM B,23.38709677,1,2024,1,3,2026-03-27T07:12:20.414Z
A055983,1/21/2026,Fang Nair,4/29/2025,F,ACTIVE,F,Agency F,3,Assistant Director,Better Opportunity,SYSTEM B,8.74193548,1,2026,1,1,2026-03-27T07:12:20.414Z
A056186,12/8/2024,Charles Anderson,10/12/2023,M,ACTIVE,H,Agency H,2,Lead,Better Opportunity,SYSTEM B,13.87096774,1,2024,4,12,2026-03-27T07:12:20.414Z
A056625,4/9/2024,Lily Lin,3/5/2023,M,ACTIVE,D,Agency D,1,Staff,Better Opportunity,SYSTEM B,13.12903226,1,2024,2,4,2026-03-27T07:12:20.414Z
A057013,1/31/2026,Rajan Chew,3/18/2025,M,ACTIVE,D,Agency D,1,Staff,Personal,SYSTEM B,10.41935484,1,2026,1,1,2026-03-27T07:12:20.414Z
A057101,7/9/2023,Wei Poh,1/29/2021,M,ACTIVE,B,Agency B,1,Staff,Termination,SYSTEM B,29.35483871,0,2023,3,7,2026-03-27T07:12:20.414Z
A058177,8/27/2025,Nina Seah,5/17/2023,M,ACTIVE,D,Agency D,3,Assistant Director,Better Opportunity,SYSTEM B,27.32258065,1,2025,3,8,2026-03-27T07:12:20.414Z
A058232,2/27/2026,Rajan Garcia,12/20/2024,M,ACTIVE,D,Agency D,1,Staff,Health,SYSTEM B,14.22580645,0,2026,1,2,2026-03-27T07:12:20.414Z
A058410,6/16/2024,Zachary Mok,12/5/2023,F,ACTIVE,D,Agency D,2,Lead,Better Opportunity,SYSTEM B,6.35483871,1,2024,2,6,2026-03-27T07:12:20.414Z
A058613,1/17/2026,Omar Heng,11/17/2024,F,ACTIVE,A,Agency A,1,Staff,Better Opportunity,SYSTEM B,14,1,2026,1,1,2026-03-27T07:12:20.414Z
A058741,1/25/2026,Ying Davis,4/4/2025,F,ACTIVE,A,Agency A,1,Staff,Personal,SYSTEM B,9.67741935,1,2026,1,1,2026-03-27T07:12:20.414Z
A058894,3/25/2026,Omar Ibrahim,1/21/2026,M,ACTIVE,A,Agency A,2,Lead,Termination,SYSTEM B,2.12903226,0,2026,1,3,2026-03-27T07:12:20.414Z
A060469,12/9/2025,Michael Leong,9/24/2025,M,ACTIVE,F,Agency F,1,Staff,Better Opportunity,SYSTEM B,2.51612903,1,2025,4,12,2026-03-27T07:12:20.414Z
A060999,11/28/2025,Quentin Zhao,1/21/2024,F,ACTIVE,B,Agency B,3,Assistant Director,Personal,SYSTEM B,22.22580645,1,2025,4,11,2026-03-27T07:12:20.414Z
A061735,2/4/2026,David Kwek,9/16/2025,F,ACTIVE,B,Agency B,2,Lead,Personal,SYSTEM B,4.61290323,1,2026,1,2,2026-03-27T07:12:20.414Z
A062051,3/31/2024,Zachary Koh,4/30/2022,M,ACTIVE,A,Agency A,1,Staff,Health,SYSTEM B,23,0,2024,1,3,2026-03-27T07:12:20.414Z
A062163,1/28/2026,Thomas Wee,5/13/2023,M,ACTIVE,F,Agency F,1,Staff,Better Opportunity,SYSTEM B,32.48387097,1,2026,1,1,2026-03-27T07:12:20.414Z
A063491,1/7/2026,Emily Zhao,8/30/2023,M,ACTIVE,H,Agency H,2,Lead,Better Opportunity,SYSTEM B,28.25806452,1,2026,1,1,2026-03-27T07:12:20.414Z
A064037,1/22/2024,Jasmine Mohamed,11/26/2021,F,ACTIVE,A,Agency A,5,Director,Better Opportunity,SYSTEM B,25.87096774,1,2024,1,1,2026-03-27T07:12:20.414Z
A064558,11/11/2023,Rajan Leong,1/7/2023,M,ACTIVE,A,Agency A,2,Lead,Better Opportunity,SYSTEM B,10.12903226,1,2023,4,11,2026-03-27T07:12:20.414Z
A065535,7/21/2022,Rizal Tan,2/6/2021,M,ACTIVE,D,Agency D,1,Staff,Better Opportunity,SYSTEM B,17.48387097,1,2022,3,7,2026-03-27T07:12:20.414Z
A065694,10/20/2024,Thomas Tan,7/4/2024,F,ACTIVE,A,Agency A,1,Staff,Better Opportunity,SYSTEM B,3.51612903,1,2024,4,10,2026-03-27T07:12:20.414Z
A065743,9/1/2025,Samuel Liu,8/2/2024,F,ACTIVE,D,Agency D,2,Lead,Better Opportunity,SYSTEM B,12.96774194,1,2025,3,9,2026-03-27T07:12:20.414Z
A065744,11/4/2025,George Rahman,5/2/2023,M,ACTIVE,B,Agency B,1,Staff,Better Opportunity,SYSTEM B,30.06451613,1,2025,4,11,2026-03-27T07:12:20.414Z
A065927,7/10/2025,Olivia Koh,3/8/2022,M,ACTIVE,A,Agency A,2,Lead,Better Opportunity,SYSTEM B,40.06451613,1,2025,3,7,2026-03-27T07:12:20.414Z
A065993,12/11/2023,Jasmine Wu,4/16/2021,M,ACTIVE,F,Agency F,1,Staff,Better Opportunity,SYSTEM B,31.83870968,1,2023,4,12,2026-03-27T07:12:20.414Z
A067199,7/1/2024,Suresh Chua,2/21/2023,F,ACTIVE,A,Agency A,1,Staff,Personal,SYSTEM B,16.35483871,1,2024,3,7,2026-03-27T07:12:20.414Z
A068072,1/29/2023,Nina Rahman,12/7/2021,M,ACTIVE,F,Agency F,3,Assistant Director,Better Opportunity,SYSTEM B,13.70967742,1,2023,1,1,2026-03-27T07:12:20.414Z
A068421,1/10/2026,Edward Lee,8/6/2025,M,ACTIVE,F,Agency F,1,Staff,Personal,SYSTEM B,5.12903226,1,2026,1,1,2026-03-27T07:12:20.414Z
A069144,9/14/2024,Xerxes Lau,8/2/2023,M,ACTIVE,F,Agency F,1,Staff,Health,SYSTEM B,13.38709677,0,2024,3,9,2026-03-27T07:12:20.414Z
A069402,1/21/2026,Nathan Chua,4/18/2025,F,ACTIVE,B,Agency B,1,Staff,Better Opportunity,SYSTEM B,9.09677419,1,2026,1,1,2026-03-27T07:12:20.414Z
A069462,12/21/2025,Peter Wu,11/28/2023,M,ACTIVE,C,Agency C,1,Staff,Health,SYSTEM B,24.77419355,0,2025,4,12,2026-03-27T07:12:20.414Z
A069814,2/9/2024,Uma Lau,2/19/2022,M,ACTIVE,D,Agency D,2,Lead,Personal,SYSTEM B,23.67741935,1,2024,1,2,2026-03-27T07:12:20.414Z
A069930,7/10/2022,David Yap,1/19/2021,F,ACTIVE,D,Agency D,4,Deputy Director,Personal,SYSTEM B,17.70967742,1,2022,3,7,2026-03-27T07:12:20.414Z
A072515,9/14/2024,Zara Nair,5/14/2023,F,ACTIVE,C,Agency C,1,Staff,Better Opportunity,SYSTEM B,16,1,2024,3,9,2026-03-27T07:12:20.414Z
A072682,3/18/2023,Irene Chee,9/8/2021,F,ACTIVE,A,Agency A,1,Staff,Personal,SYSTEM B,18.32258065,1,2023,1,3,2026-03-27T07:12:20.414Z
A073607,1/17/2024,Rajan Koh,6/18/2023,F,ACTIVE,C,Agency C,1,Staff,Better Opportunity,SYSTEM B,6.96774194,1,2024,1,1,2026-03-27T07:12:20.414Z
A073920,2/3/2026,Ramesh Kwek,8/20/2024,F,ACTIVE,A,Agency A,2,Lead,Health,SYSTEM B,17.4516129,0,2026,1,2,2026-03-27T07:12:20.414Z
A000022,12/31/2025,Nathan Goh,3/5/2024,F,P,G,Agency G,3,Assistant Director,Better Opportunity,SYSTEM A,21.83870968,1,2025,4,12,2026-03-27T07:12:20.414Z
A000819,10/6/2022,Wendy Tan,8/16/2021,F,P,A,Agency A,1,Staff,Better Opportunity,SYSTEM A,13.67741935,1,2022,4,10,2026-03-27T07:12:20.414Z
A000979,1/1/2026,James Ooi,5/14/2024,F,P,F,Agency F,1,Staff,Personal,SYSTEM A,19.58064516,1,2026,1,1,2026-03-27T07:12:20.414Z
A001885,9/29/2023,Gerald Poh,4/22/2023,M,C,B,Agency B,2,Lead,Better Opportunity,SYSTEM A,5.22580645,1,2023,3,9,2026-03-27T07:12:20.414Z
A005341,8/29/2021,Jing Low,1/28/2021,M,P,D,Agency D,1,Staff,Personal,SYSTEM A,7.03225806,1,2021,3,8,2026-03-27T07:12:20.414Z
A006956,5/9/2025,Hua Ong,7/15/2024,M,C,A,Agency A,4,Deputy Director,Better Opportunity,SYSTEM A,9.80645161,1,2025,2,5,2026-03-27T07:12:20.414Z
A008901,8/16/2023,Xena Anderson,8/23/2022,F,P,D,Agency D,2,Lead,Better Opportunity,SYSTEM A,11.77419355,1,2023,3,8,2026-03-27T07:12:20.414Z
A010762,12/31/2025,Lily Yusof,8/27/2025,F,P,B,Agency B,1,Staff,Better Opportunity,SYSTEM A,4.12903226,1,2025,4,12,2026-03-27T07:12:20.414Z
A011271,5/24/2022,Fiona Poh,1/23/2021,M,P,F,Agency F,2,Lead,Personal,SYSTEM A,16.03225806,1,2022,2,5,2026-03-27T07:12:20.414Z
A012100,5/19/2026,Rajan Wu,4/5/2024,F,P,C,Agency C,1,Staff,Termination,SYSTEM A,25.4516129,0,2026,2,5,2026-03-27T07:12:20.414Z
A015768,12/17/2024,Xavier Ho,8/11/2024,F,C,G,Agency G,1,Staff,Better Opportunity,SYSTEM A,4.19354839,1,2024,4,12,2026-03-27T07:12:20.414Z
A016301,8/2/2026,Kevin Lin,2/4/2026,F,P,B,Agency B,1,Staff,Personal,SYSTEM A,5.93548387,1,2026,3,8,2026-03-27T07:12:20.414Z
A017670,10/24/2024,Sophia Lau,5/12/2022,F,P,D,Agency D,1,Staff,Better Opportunity,SYSTEM A,29.38709677,1,2024,4,10,2026-03-27T07:12:20.414Z
A018173,7/14/2024,Victor Chong,6/18/2023,M,T,F,Agency F,1,Staff,Better Opportunity,SYSTEM A,12.87096774,1,2024,3,7,2026-03-27T07:12:20.414Z
A019927,7/18/2026,Nathan Phua,1/23/2026,F,P,H,Agency H,1,Staff,Personal,SYSTEM A,5.83870968,1,2026,3,7,2026-03-27T07:12:20.414Z
A020831,10/25/2025,Rui Davis,3/29/2025,F,P,H,Agency H,1,Staff,Personal,SYSTEM A,6.87096774,1,2025,4,10,2026-03-27T07:12:20.414Z
A020904,9/17/2025,Jing Cheong,8/3/2024,M,P,B,Agency B,1,Staff,Better Opportunity,SYSTEM A,13.4516129,1,2025,3,9,2026-03-27T07:12:20.414Z
A021432,12/24/2025,Uma Loh,8/8/2025,M,C,G,Agency G,1,Staff,Better Opportunity,SYSTEM A,4.51612903,1,2025,4,12,2026-03-27T07:12:20.414Z
A023228,12/3/2025,Vincent Yusof,7/30/2025,M,P,D,Agency D,1,Staff,Better Opportunity,SYSTEM A,4.12903226,1,2025,4,12,2026-03-27T07:12:20.414Z
A023535,9/18/2025,Marcus Leong,11/9/2024,M,0,B,Agency B,1,Staff,Better Opportunity,SYSTEM A,10.29032258,1,2025,3,9,2026-03-27T07:12:20.414Z
A025198,2/1/2026,Zhen Liu,6/2/2023,M,P,A,Agency A,1,Staff,Better Opportunity,SYSTEM A,31.96774194,1,2026,1,2,2026-03-27T07:12:20.414Z
A030367,11/2/2024,Preethi Nair,3/3/2023,M,P,G,Agency G,1,Staff,Better Opportunity,SYSTEM A,19.96774194,1,2024,4,11,2026-03-27T07:12:20.414Z
A030406,7/25/2025,Emily Chee,11/21/2022,M,P,H,Agency H,1,Staff,Better Opportunity,SYSTEM A,32.12903226,1,2025,3,7,2026-03-27T07:12:20.414Z
A031807,9/18/2024,Peter Lee,10/8/2023,F,P,G,Agency G,2,Lead,Personal,SYSTEM A,11.32258065,1,2024,3,9,2026-03-27T07:12:20.414Z
A032352,12/29/2025,Rita Liang,8/31/2025,M,P,B,Agency B,2,Lead,Personal,SYSTEM A,3.93548387,1,2025,4,12,2026-03-27T07:12:20.414Z
A034586,1/14/2026,Ulric Seah,7/3/2024,M,P,D,Agency D,1,Staff,Better Opportunity,SYSTEM A,18.35483871,1,2026,1,1,2026-03-27T07:12:20.414Z
A038492,12/1/2025,Hannah Malik,8/8/2025,F,P,B,Agency B,1,Staff,Personal,SYSTEM A,3.77419355,1,2025,4,12,2026-03-27T07:12:20.414Z
A039316,9/1/2025,Zachary Seah,5/18/2023,M,P,B,Agency B,2,Lead,Personal,SYSTEM A,27.4516129,1,2025,3,9,2026-03-27T07:12:20.414Z
A039326,8/18/2025,Deborah Abdullah,9/9/2024,F,P,B,Agency B,3,Assistant Director,Personal,SYSTEM A,11.29032258,1,2025,3,8,2026-03-27T07:12:20.414Z
A039482,4/27/2024,Xerxes Abdullah,8/9/2023,F,P,C,Agency C,2,Lead,Better Opportunity,SYSTEM A,8.58064516,1,2024,2,4,2026-03-27T07:12:20.414Z
A044161,8/4/2025,Nina Khoo,4/20/2024,F,C,A,Agency A,1,Staff,Better Opportunity,SYSTEM A,15.48387097,1,2025,3,8,2026-03-27T07:12:20.414Z
A045284,11/3/2024,Leonard Ibrahim,2/7/2022,M,P,A,Agency A,1,Staff,Better Opportunity,SYSTEM A,32.87096774,1,2024,4,11,2026-03-27T07:12:20.414Z
A046003,3/22/2025,Yvonne Tan,8/31/2024,M,C,A,Agency A,2,Lead,Better Opportunity,SYSTEM A,6.70967742,1,2025,1,3,2026-03-27T07:12:20.414Z
A050170,2/5/2022,Vanessa Ooi,9/4/2021,M,ACTIVE,G,Agency G,1,Staff,Personal,SYSTEM B,5.03225806,1,2022,1,2,2026-03-27T07:12:20.414Z
A052156,3/20/2025,Steven Williams,2/7/2024,F,ACTIVE,A,Agency A,1,Staff,Personal,SYSTEM B,13.41935484,1,2025,1,3,2026-03-27T07:12:20.414Z
A053090,2/26/2025,Yusuf Brown,12/19/2022,M,ACTIVE,D,Agency D,1,Staff,Better Opportunity,SYSTEM B,26.22580645,1,2025,1,2,2026-03-27T07:12:20.414Z
A053367,12/20/2024,Andre Yusof,10/20/2024,M,ACTIVE,B,Agency B,1,Staff,Personal,SYSTEM B,2,1,2024,4,12,2026-03-27T07:12:20.414Z
A054717,12/30/2025,Zhen Williams,2/28/2023,M,ACTIVE,F,Agency F,1,Staff,Health,SYSTEM B,34.06451613,0,2025,4,12,2026-03-27T07:12:20.414Z
A055005,8/23/2025,Amirah Chen,6/6/2024,M,ACTIVE,F,Agency F,1,Staff,Better Opportunity,SYSTEM B,14.5483871,1,2025,3,8,2026-03-27T07:12:20.414Z
A055292,7/20/2024,Wei Goh,3/31/2023,M,ACTIVE,A,Agency A,4,Deputy Director,Better Opportunity,SYSTEM B,15.64516129,1,2024,3,7,2026-03-27T07:12:20.414Z
A055357,12/1/2025,Diana Chia,5/10/2024,F,ACTIVE,C,Agency C,1,Staff,Better Opportunity,SYSTEM B,18.70967742,1,2025,4,12,2026-03-27T07:12:20.414Z
A056695,4/15/2024,Kai Ibrahim,12/8/2022,M,ACTIVE,A,Agency A,1,Staff,Better Opportunity,SYSTEM B,16.22580645,1,2024,2,4,2026-03-27T07:12:20.414Z
A056888,8/29/2024,Ivan Heng,12/31/2021,F,ACTIVE,F,Agency F,1,Staff,Personal,SYSTEM B,31.93548387,1,2024,3,8,2026-03-27T07:12:20.414Z
A057856,1/15/2026,Hannah Rahman,9/11/2025,F,ACTIVE,A,Agency A,1,Staff,Better Opportunity,SYSTEM B,4.12903226,1,2026,1,1,2026-03-27T07:12:20.414Z
A058683,12/3/2021,Nina Yap,6/12/2021,F,ACTIVE,D,Agency D,1,Staff,Better Opportunity,SYSTEM B,5.70967742,1,2021,4,12,2026-03-27T07:12:20.414Z
A058918,10/24/2025,David Kaur,7/17/2025,M,ACTIVE,C,Agency C,2,Lead,Health,SYSTEM B,3.22580645,0,2025,4,10,2026-03-27T07:12:20.414Z
A059858,4/27/2024,Uma Smith,6/7/2023,M,ACTIVE,D,Agency D,1,Staff,Better Opportunity,SYSTEM B,10.64516129,1,2024,2,4,2026-03-27T07:12:20.414Z
A060294,4/12/2024,Arun Kaur,8/22/2021,M,ACTIVE,A,Agency A,1,Staff,Better Opportunity,SYSTEM B,31.67741935,1,2024,2,4,2026-03-27T07:12:20.414Z
A060589,7/10/2024,Uma Garcia,10/31/2023,F,ACTIVE,B,Agency B,2,Lead,Personal,SYSTEM B,8.32258065,1,2024,3,7,2026-03-27T07:12:20.414Z
A060680,7/20/2024,Quentin Soh,4/10/2022,M,ACTIVE,H,Agency H,1,Staff,Better Opportunity,SYSTEM B,27.32258065,1,2024,3,7,2026-03-27T07:12:20.414Z
A060739,4/21/2025,Nina Lin,2/4/2025,M,ACTIVE,F,Agency F,2,Lead,Better Opportunity,SYSTEM B,2.5483871,1,2025,2,4,2026-03-27T07:12:20.414Z
A061244,6/19/2024,Thomas Quek,5/28/2022,F,ACTIVE,C,Agency C,3,Assistant Director,Better Opportunity,SYSTEM B,24.70967742,1,2024,2,6,2026-03-27T07:12:20.414Z
A061386,7/18/2025,Ivan Kwek,4/30/2025,M,ACTIVE,A,Agency A,3,Assistant Director,Better Opportunity,SYSTEM B,2.61290323,1,2025,3,7,2026-03-27T07:12:20.414Z
A061972,7/8/2023,Noor Rao,6/13/2022,F,ACTIVE,D,Agency D,1,Staff,Better Opportunity,SYSTEM B,12.83870968,1,2023,3,7,2026-03-27T07:12:20.414Z
A062416,1/23/2025,Steven Chong,6/14/2024,M,ACTIVE,A,Agency A,1,Staff,Personal,SYSTEM B,7.29032258,1,2025,1,1,2026-03-27T07:12:20.414Z
A063139,6/2/2023,Quinn Low,8/29/2021,F,ACTIVE,D,Agency D,2,Lead,Better Opportunity,SYSTEM B,21.12903226,1,2023,2,6,2026-03-27T07:12:20.414Z
A064078,9/13/2025,Hua Loh,10/22/2021,F,ACTIVE,H,Agency H,1,Staff,Better Opportunity,SYSTEM B,46.70967742,1,2025,3,9,2026-03-27T07:12:20.414Z
A065067,3/24/2025,Rizal Lau,10/7/2021,F,ACTIVE,C,Agency C,1,Staff,Better Opportunity,SYSTEM B,41.5483871,1,2025,1,3,2026-03-27T07:12:20.414Z
